"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.95641916902797e-248,-0.541530441585118,0.073,0.458,1.55065539696803e-243,"0","HP1BP3"
9.06443684028715e-248,-1.71238597323071,0.018,0.345,2.02055361606841e-243,"0","SLC43A2"
1.07971758066982e-247,-2.10671453738295,0.021,0.352,2.40679845907109e-243,"0","C2"
1.74561667433441e-247,-0.364102846705712,0.154,0.614,3.89115412875884e-243,"0","TCF25"
2.24062746428689e-247,-0.769554517936905,0.221,0.711,4.9945826806419e-243,"0","TSPO"
2.43576114995189e-246,-0.71201507254722,0.056,0.422,5.42955517935776e-242,"0","QKI"
3.05798565125492e-246,-1.23206329373965,0.041,0.39,6.81655581521234e-242,"0","CTDSP1"
5.59770371506276e-246,-0.455110464518068,0.126,0.561,1.24778413512464e-241,"0","CCDC85B"
8.53107149730755e-246,-1.05080219601492,0.04,0.389,1.90166114746483e-241,"0","RNPEPL1"
2.36517940385795e-245,-0.995269625095968,0.034,0.377,5.27222140913976e-241,"0","PLXDC2"
3.80327145768109e-245,-0.440018589712558,0.105,0.517,8.47787240631691e-241,"0","RBM25"
4.35163897359962e-245,-0.723654601503571,0.053,0.416,9.70023843605091e-241,"0","TWF2"
3.27558262975212e-244,-1.43442449398675,0.058,0.42,7.30160123998044e-240,"0","GPSM3"
4.21101338848639e-244,-0.549445916966725,0.083,0.473,9.38676994427502e-240,"0","SYF2"
4.96326969233425e-244,-0.281114564654182,0.081,0.472,1.10636244711823e-239,"0","MRPL54"
6.31833115936415e-244,-0.691000776116686,0.122,0.547,1.40841919873386e-239,"0","ZFP36L1"
4.25782642282927e-243,-2.28891710939515,0.016,0.336,9.49112087912873e-239,"0","PIM1"
7.01381375242837e-243,1.15924298363002,0.761,0.895,1.56344922355381e-238,"0","SRP14"
2.01069389871324e-242,-0.35315288631393,0.077,0.462,4.48203776962168e-238,"0","AKR1A1"
2.23666126737445e-242,-0.684089402033111,0.051,0.409,4.98574163110438e-238,"0","TCIRG1"
2.72548505477274e-242,-0.582647116227278,0.101,0.507,6.07537873559391e-238,"0","CTSC"
2.74343341331566e-242,-1.39937410627613,0.113,0.509,6.11538742162193e-238,"0","FOS"
2.92862496242124e-242,-0.509879085930536,0.072,0.451,6.52819790373318e-238,"0","LIMS1"
3.59632489004082e-242,-1.04477676191126,0.034,0.373,8.01656781238998e-238,"0","CCDC107"
3.87840884422737e-242,-0.440464596290561,0.074,0.455,8.64536115466723e-238,"0","NDUFB8"
4.29804629257056e-242,-1.95081555303257,0.032,0.367,9.58077499076904e-238,"0","CD53"
4.86228290406814e-242,-0.851109453173993,0.042,0.389,1.08385148214583e-237,"0","PLSCR1"
5.56009543696626e-242,-1.00488067864316,0.146,0.578,1.23940087385415e-237,"0","APLP2"
8.3358890360647e-242,2.60214522105365,0.537,0.325,1.85815302502918e-237,"0","BAMBI"
1.03761256555039e-241,-0.872898592129358,0.068,0.438,2.31294216986838e-237,"0","EPC1"
1.94221857766557e-241,-0.846027283167998,0.036,0.377,4.32939943147433e-237,"0","AGTRAP"
8.75996686479056e-241,-1.30470359643197,0.041,0.385,1.95268421383046e-236,"0","FNBP1"
2.93945687277786e-240,-1.05092537007257,0.111,0.514,6.55234331510913e-236,"0","COTL1"
3.58081455726859e-240,-0.683594329320127,0.151,0.595,7.98199372960742e-236,"0","HSPA5"
4.25937594857398e-240,-0.657504735981431,0.054,0.413,9.49457492696626e-236,"0","WSB1"
7.97161639525241e-240,-0.705181939102735,0.14,0.577,1.77695301066571e-235,"0","RTN4"
2.60876042794319e-239,-1.80003127636313,0.016,0.333,5.81518786992816e-235,"0","IL18"
4.55585161223503e-239,-2.00301996304625,0.031,0.363,1.01554488288331e-234,"0","SGK1"
7.57670630698236e-239,-0.802212706615834,0.038,0.378,1.68892360288944e-234,"0","GUSB"
9.73200450665013e-239,-1.04983207968327,0.073,0.443,2.16936112457738e-234,"0","MBP"
1.84841729863217e-238,-0.567711863765226,0.05,0.405,4.12030700038098e-234,"0","CNPY3"
2.23329025085527e-238,-0.38650898442351,0.18,0.652,4.97822729818149e-234,"0","SRSF7"
3.42934687813413e-238,-0.318376622770496,0.082,0.468,7.6443571260488e-234,"0","CDC37"
6.57023487592204e-238,-1.75213840494214,0.021,0.342,1.46457105619178e-233,"0","GLIPR1"
7.22667382877055e-238,-2.5253907833754,0.023,0.344,1.61089786317124e-233,"0","CD48"
8.36508623550031e-238,-1.59431823676892,0.083,0.456,1.86466137275537e-233,"0","HLA-DQB1"
9.04355206438051e-238,1.0369748222903,0.799,0.892,2.01589819067106e-233,"0","ATP5F1E"
1.99526493244196e-237,-0.32515982259299,0.089,0.479,4.44764506090637e-233,"0","FAM96B"
2.1353520021196e-237,-0.801573464821112,0.802,0.973,4.7599131479248e-233,"0","RPL3"
2.1568393097736e-237,-3.81992385686754,0.084,0.405,4.80781050541633e-233,"0","NKG7"
4.87726198802153e-237,-0.696260671150604,0.053,0.406,1.08719046974988e-232,"0","EIF1B"
6.71326353427708e-237,-0.409561809308988,0.053,0.409,1.4964535744257e-232,"0","ERP44"
8.41008887875282e-237,-1.01643823384336,0.039,0.379,1.87469291196279e-232,"0","GBP2"
1.0427452641414e-236,-0.663016179339518,0.115,0.525,2.3243834682976e-232,"0","GRB2"
3.71939071577247e-236,-0.376112465238518,0.047,0.396,8.29089384452842e-232,"0","RTN3"
1.14877759193352e-235,-0.553721316926452,0.116,0.53,2.560740130179e-231,"0","ASAH1"
1.28975432059262e-235,-0.340939955828561,0.072,0.443,2.874991356033e-231,"0","ATP6V0D1"
1.71365948877e-235,-1.20604226517821,0.049,0.396,3.81991836641721e-231,"0","NKTR"
1.95411617199685e-235,-1.19587453449753,0.038,0.375,4.35592035899819e-231,"0","ARRB2"
2.21474204125938e-235,-1.23780786871043,0.023,0.344,4.93688148417129e-231,"0","TMED5"
3.06665690397707e-234,-0.76883355202849,0.071,0.438,6.8358849046553e-230,"0","KMT2E"
1.3629816238522e-233,-1.05337237441759,0.029,0.355,3.03822233772893e-229,"0","STOM"
2.83093178350153e-233,-0.762553575202002,0.047,0.391,6.31043003860327e-229,"0","TNFRSF1A"
9.96452442043825e-233,-2.09248421318123,0.028,0.349,2.22119213855989e-228,"0","SLFN5"
1.21917060259884e-232,-1.14423623940536,0.048,0.39,2.71765319025307e-228,"0","USP15"
2.5230134446616e-232,-0.745276176722162,0.033,0.362,5.62404926949517e-228,"0","TXNDC12"
2.59654750794784e-231,-0.939339394035515,0.041,0.376,5.78796404996654e-227,"0","SRSF4"
3.20395482475836e-231,-0.338120477761875,0.064,0.425,7.14193569986887e-227,"0","TMEM179B"
3.96324821094254e-231,-0.48262244414436,0.056,0.407,8.83447658701201e-227,"0","DNAJC3"
4.64306551873292e-231,-2.93170287983816,0.016,0.323,1.03498573478076e-226,"0","RAC2"
4.99802989935524e-231,-0.534294316457259,0.089,0.47,1.11411084486528e-226,"0","TERF2IP"
7.58109098947058e-231,-0.600547528386122,0.064,0.423,1.68990099246289e-226,"0","MGAT1"
1.08160146227417e-230,-1.43192593429475,0.033,0.359,2.41099781955535e-226,"0","EMB"
2.4163772857362e-230,-1.29367701877955,0.019,0.331,5.38634660763456e-226,"0","EMILIN2"
6.08920858864752e-230,-0.73446298790522,0.041,0.376,1.35734548649542e-225,"0","UBE2L6"
2.4163235170599e-229,-0.347253187607475,0.095,0.481,5.38622675187823e-225,"0","FAM133B"
3.94515373545865e-229,-2.60989914320237,0.023,0.336,8.79414219171088e-225,"0","BIN2"
4.48462520579764e-229,-4.13166010514879,0.021,0.323,9.99667804624351e-225,"0","CST7"
1.38211633939437e-228,-0.447266884907349,0.053,0.398,3.08087553214399e-224,"0","PEPD"
1.50113438773662e-228,-0.403242533886097,0.07,0.434,3.34617866370369e-224,"0","SRM"
1.61225304603459e-228,-0.630536389836593,0.065,0.421,3.59387326491571e-224,"0","ELF1"
2.25306570161566e-228,-0.273021686327177,0.156,0.601,5.02230875547148e-224,"0","ITGB1"
2.59953764066886e-228,-3.96090376244874,0.031,0.336,5.79462935481496e-224,"0","GZMA"
5.65126390039387e-228,-1.48210492341338,0.028,0.345,1.2597232360368e-223,"0","TRADD"
2.17427151002549e-227,-1.03645624205818,0.04,0.37,4.84666862299782e-223,"0","PTPN2"
